,Abastecimento de Água - Nível de Atendimento - Censo Demográfico (Em %),Coleta de Lixo - Nível de Atendimento - Censo Demográfico (Em %),Esgoto Sanitário - Nível de Atendimento - Censo Demográfico (Em %),Consumo de Energia Elétrica - Total (Em MWh),Consumo de Energia Elétrica - Industrial (Em MWh),Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh),Consumo de Energia Elétrica - Rural (Em MWh),Consumo de Energia Elétrica - Residencial (Em MWh),Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh),Taxa Geométrica de Crescimento Anual da População - 2010/2020 (Em % a.a.),Empregos Formais de Homens ,Empregos Formais de Mulheres ,Empregos Formais das Pessoas de até 24 Anos ,Empregos Formais das Pessoas de 25 a 39 Anos ,Empregos Formais das Pessoas de 40 a 59 Anos ,Empregos Formais das Pessoas de 60 Anos e Mais ,Empregos Formais das Pessoas com Ensino Fundamental Incompleto ,Empregos Formais das Pessoas com Ensino Fundamental Completo ,Empregos Formais das Pessoas com Ensino Médio Completo ,Empregos Formais das Pessoas com Ensino Superior Completo ,Empregos Formais da Agricultura. Pecuária. Produção Florestal. Pesca e Aquicultura ,Empregos Formais da Indústria ,Empregos Formais da Construção ,Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas ,Empregos Formais dos Serviços ,Participação dos Empregos Formais da Agricultura. Pecuária. Produção Florestal. Pesca e Aquicultura no Total de Empregos Formais (Em %),Participação dos Empregos Formais da Indústria no Total de Empregos Formais (Em %),Participação dos Empregos Formais da Construção no Total de Empregos Formais (Em %),Participação dos Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas no Total de Empregos Formais (Em %),Participação dos Empregos Formais dos Serviços no Total de Empregos Formais (Em %),Frota de Veículos - Total ,Número de Habitantes por Total de Veículos ,Frota de Automóveis ,Número de Habitantes por Automóvel ,Frota de Ônibus ,Frota de Caminhões ,Frota de Reboques ,Frota de Motocicletas e Assemelhados ,Frota de Microônibus e Camionetas ,Frota de Veículos de Outro Tipo ,Índice de Desenvolvimento Humano Municipal - IDHM ,Índice de Desenvolvimento Humano Municipal - IDHM - Ranking dos Municípios ,Índice de Desenvolvimento Humano Municipal - IDHM Longevidade ,Índice de Desenvolvimento Humano Municipal - IDHM Educação ,Índice de Desenvolvimento Humano Municipal - IDHM Renda ,Índice Paulista de Responsabilidade Social - IPRS - Dimensão Riqueza ,Índice Paulista de Responsabilidade Social - IPRS - Dimensão Longevidade ,Índice Paulista de Responsabilidade Social - IPRS - Dimensão Escolaridade ,Leitos de Internação ,Leitos de Internação (Coeficiente por mil habitantes),Leitos SUS ,Leitos SUS (Coeficiente por mil habitantes),Taxa de Natalidade (Por mil habitantes),Taxa de Fecundidade Geral (Por mil mulheres entre 15 e 49 anos),Índice de Envelhecimento (Em %),Óbitos Gerais (por local de residência) ,Taxa de Mortalidade Geral (por local de residência) (Por mil habitantes),Óbitos da População de 15 a 34 Anos ,Taxa de Mortalidade da População de 15 a 34 Anos (Por cem mil habitantes nessa faixa etária),Óbitos da População de 60 Anos e Mais ,Taxa de Mortalidade da População de 60 Anos e Mais (Por cem mil habitantes nessa faixa etária),PIB (Em mil reais correntes),PIB per Capita (Em reais correntes),Participação no PIB do Estado (Em %),População ,População Masculina ,População Feminina ,Razão de Sexos ,População Urbana ,População Rural ,Grau de Urbanização (Em %),População de 0 a 3 Anos ,População de 4 a 6 Anos ,População de 6 Anos ,População de 7 a 10 Anos ,População de 11 a 14 Anos ,População de 15 a 17 Anos ,População de 18 a 19 Anos ,Auxiliares de Enfermagem Registrados no COREN/SP ,Auxiliares de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes),Dentistas Registrados no CRO/SP ,Dentistas Registrados no CRO/SP (Coeficiente por dois mil habitantes),Enfermeiros Registrados no COREN/SP ,Enfermeiros Registrados no COREN/SP (Coeficiente por mil habitantes),Fonoaudiólogos registrados no CRFa/SP ,Fonoaudiólogos registrados no CRFa/SP (Coeficiente por mil habitantes),Médicos Registrados no CRM/SP ,Médicos Registrados no CRM/SP (Coeficiente por mil habitantes),Técnicos de Enfermagem Registrados no COREN/SP ,Técnicos de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes),Técnicos de Prótese Dentária Registrados no CRO/SP ,Técnicos de Prótese Dentária Registrados no CRO/SP (Coeficiente por dois mil habitantes),Renda per Capita - Censo Demográfico (Em reais correntes),Domicílios Particulares com Renda per Capita até 1/2 Salário Mínimo - Censo Demográfico (Em %),Domicílios Particulares com Renda per Capita até 1/4 do Salário Mínimo - Censo Demográfico (Em %),Area,densidade
0,99.76,99.89,99.03,74776,8108,18478,2901,32848,12441,0.03,5422,5023,1722,4255,3804,664,776,1590,6215,1864,692,1857,362,2892,4642,6.63,17.78,3.47,27.69,44.44,26983,1.26,14831,2.28,79,1040,1223,6490,3312,8,0.79,35,0.852,0.75,0.772,38,72,61,235,6.93,206,6.08,11.21,45.25,133.52,301,8.88,8,83.27,254,3594.17,1054541.08,31121.18,0.049746,33894,16326,17568,92.93,32668,1226,96.38,1353,1115,371,1420,1330,1097,783,168,4.96,112,6.61,160,4.72,6,0.18,94,2.77,62,1.83,8,0.47,778.44,12.78,3.03,411.987,82.26958617626285
1,96.76,99.72,95.93,13436,74,1071,6470,4260,1561,-0.32,472,382,62,297,416,79,236,168,312,138,318,43,21,66,406,37.24,5.04,2.46,7.73,47.54,2405,1.44,1389,2.5,29,97,208,403,278,1,0.73,388,0.8440000000000001,0.648,0.71,38,67,67,0,0.0,0,0.0,13.26,53.99,129.09,32,9.22,2,200.4,29,4084.51,99734.63,28667.61,0.004705,3447,1707,1740,98.1,3189,258,92.52,133,100,34,140,152,129,91,12,3.47,6,3.47,7,2.02,3,0.87,0,0.0,28,8.1,0,0.0,588.02,16.08,5.33,211.055,16.332235673165762
2,99.29,99.66,98.87,86329,33297,7810,14278,21598,9346,1.04,4372,2612,918,3171,2589,306,748,1637,3429,1170,1343,2258,123,1365,1895,19.23,32.33,1.76,19.54,27.13,21103,1.65,11123,3.14,218,1140,471,5738,2407,6,0.715,502,0.858,0.606,0.703,33,68,48,0,0.0,0,0.0,13.06,49.19,69.33,250,7.16,13,112.23,199,4072.03,942708.52,27263.25,0.04447,35608,17889,17719,100.96,32833,2775,92.21,1899,1432,476,1884,1860,1389,989,40,1.13,34,1.93,44,1.25,3,0.09,31,0.88,129,3.66,2,0.11,540.88,24.41,6.87,474.554,75.03466412673794
3,95.84,99.38,87.99,13629,1929,2282,1717,5786,1915,0.28,550,433,115,347,449,72,159,180,434,210,206,169,30,164,414,20.96,17.19,3.05,16.68,42.12,4666,1.66,2818,2.75,14,137,62,947,687,1,0.7809999999999999,62,0.8859999999999999,0.716,0.75,30,75,62,0,0.0,0,0.0,11.73,48.0,137.45,87,11.21,0,0.0,66,4004.85,153773.21,19869.91,0.007254000000000002,7797,3830,3967,96.55,7188,609,92.19,302,225,75,311,336,267,191,25,3.21,3,0.77,10,1.29,1,0.13,7,0.9,29,3.73,1,0.26,726.28,18.04,4.09,142.673,54.64944313219741
4,93.54,98.74,90.33,47189,4399,16236,1505,18256,6792,0.63,2522,2083,642,1829,1845,289,675,781,2414,735,55,801,35,825,2889,1.19,17.39,0.76,17.92,62.74,13141,1.38,7528,2.41,97,210,123,3645,1535,3,0.745,265,0.846,0.675,0.725,39,74,65,42,2.3,30,1.64,10.57,40.95,90.63,176,9.69,6,113.19,139,4449.42,472983.83,26192.48,0.022312,18374,8944,9430,94.85,18209,165,99.1,947,822,270,965,772,629,468,14,0.77,38,4.16,28,1.53,6,0.33,34,1.86,65,3.56,1,0.11,680.22,15.97,5.31,60.12600000000001,305.5915909922496
5,98.53,100.0,75.56,16471,717,2756,5161,5615,2222,0.58,965,560,257,596,610,62,375,376,550,224,829,76,23,116,481,54.36,4.98,1.51,7.61,31.54,4069,1.44,2486,2.36,39,178,191,597,576,2,0.757,182,0.84,0.695,0.7440000000000001,39,64,71,0,0.0,0,0.0,9.38,36.57,92.06,43,7.33,2,113.7,33,3163.95,148264.01,25418.14,0.006993999999999999,5931,2903,3028,95.87,4611,1320,77.74,304,232,77,302,292,218,166,16,2.71,6,2.03,14,2.37,2,0.34,0,0.0,17,2.88,1,0.34,703.8,17.09,4.77,404.463,14.663887673285318
6,99.9,99.9,97.47,15236,14,6605,0,5707,2911,1.47,633,683,236,508,508,64,176,161,716,263,4,32,34,262,984,0.3,2.43,2.58,19.91,74.77,2585,1.18,1710,1.78,6,42,95,342,385,5,0.8540000000000001,2,0.89,0.825,0.8490000000000001,53,74,78,0,0.0,0,0.0,8.87,36.94,170.29,19,6.24,0,0.0,19,2529.96,125145.61,41659.66,0.005904,3122,1466,1656,88.53,3122,0,100.0,134,108,34,119,97,91,73,5,1.62,9,5.84,7,2.27,0,0.0,15,4.87,20,6.49,0,0.0,1353.66,7.27,2.93,3.612,864.3410852713178
7,99.04,99.86,96.91,323766,268034,9389,4423,29483,12436,0.46,4987,3535,1404,3772,3073,273,701,1294,5031,1496,897,2098,182,1193,4152,10.53,24.62,2.14,14.0,48.72,21197,1.69,12620,2.84,118,756,561,4786,2342,14,0.745,265,0.845,0.6940000000000001,0.705,40,74,55,60,1.67,38,1.06,14.79,54.54,73.36,272,7.59,10,86.73,188,3639.88,2063021.7,57826.6,0.097319,36134,17816,18318,97.26,34815,1319,96.35,1813,1427,477,1885,1845,1390,1006,115,3.2,33,1.83,71,1.97,10,0.28,40,1.11,190,5.28,1,0.06,584.66,21.07,6.88,966.708,37.378401751097535
8,96.12,99.82,70.55,9207,806,1071,2050,4040,1239,1.72,516,457,141,420,360,52,110,204,532,127,270,216,4,115,368,27.75,22.2,0.41,11.82,37.82,2418,2.32,1248,4.49,8,109,46,695,308,4,0.7120000000000001,522,0.805,0.6579999999999999,0.682,30,57,53,0,0.0,0,0.0,12.14,43.23,69.31,28,5.0,1,50.1,21,2727.27,100566.7,18245.05,0.004744,5779,2885,2894,99.69,4729,1050,81.83,301,210,70,281,306,257,193,22,3.87,2,0.7,10,1.76,0,0.0,1,0.18,40,7.03,0,0.0,510.33,24.15,7.22,159.6,36.209273182957396
9,98.76,99.12,97.35,8153,1365,777,1683,3300,1027,0.1,556,355,238,381,258,34,67,152,543,149,28,450,6,62,365,3.07,49.4,0.66,6.81,40.07,2396,1.64,1437,2.73,8,82,74,440,355,0,0.741,297,0.84,0.71,0.682,28,63,61,0,0.0,0,0.0,15.04,64.48,153.23,38,9.69,1,88.26,31,3530.75,82999.9,21173.45,0.003915,3927,2001,1926,103.89,3554,373,90.5,145,114,38,147,149,137,100,28,7.14,5,2.55,7,1.78,0,0.0,3,0.76,21,5.35,0,0.0,574.27,19.16,4.59,118.915,33.02358827734096
